"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Elizabeth At 90: A Family Tribute","BBC Home Video",,"Out","2.0","LBX, 16:9",24.98,"NR","2016","Documentary","1.78:1","883929578306",2017-02-28 00:00:00,297918,2017-02-28 00:00:00,"1"
"English In Mind Level 3 (NTSC)","Cambridge University Press",,"Out","2.0","4:3",236.25,"NR","2011","Special Interest","1.33:1","9780521172417",2017-03-01 00:00:00,203226,2017-02-28 00:00:00,"1"
"English In Mind Level 4 DVD (NTSC)","Cambridge University Press",,"Out","2.0","4:3",236.25,"NR","2011","Special Interest","1.33:1","9780521184533",2017-03-01 00:00:00,210110,2017-02-28 00:00:00,"1"
"English In Mind Level 5 DVD (NTSC)","Cambridge University Press",,"Out","2.0","4:3",236.25,"NR","2012","Special Interest","1.33:1","9781107684751",2017-03-01 00:00:00,223837,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Advanced Coursebook With E-Portfolio (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",46,"NR","2011","Special Interest","1.33:1","9788483236932",2017-03-01 00:00:00,210010,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Advanced Self-Study Pack (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",27,"NR","2011","Special Interest","1.33:1","9788483237182",2017-03-01 00:00:00,210097,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Advanced Teacher's Pack (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",62,"NR","2011","Special Interest","1.33:1","9788483237007",2017-03-01 00:00:00,209952,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Elementary Coursebook With e-Portfolio (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",55,"NR","2010","Special Interest","1.33:1","9788483237069",2017-03-01 00:00:00,190666,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Elementary Self-Study Pack: Workbook & DVD-ROM + Audio CD (Book w/ DVD/CD Combo)","Cambridge University Press",,"Out","2.0","4:3",31,"NR","2012","Special Interest","1.33:1","9788483239797",2017-03-01 00:00:00,190617,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Elementary Teacher's Pack (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",75,"NR","2011","Special Interest","1.33:1","9788483236871",2017-03-01 00:00:00,190585,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Intermediate Coursebook With E-Portfolio (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",45,"NR","2011","Special Interest","1.33:1","9788483236802",2017-03-01 00:00:00,210056,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Intermediate Self-Study Pack (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",27,"NR","2011","Special Interest","1.33:1","9788483237144",2017-03-01 00:00:00,210025,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Intermediate Teacher's Pack (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",61,"NR","2011","Special Interest","1.33:1","9788483236970",2017-03-01 00:00:00,210152,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Pre-Intermediate Coursebook With e-Portfolio (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",56,"NR","2010","Special Interest","1.33:1","9788483233627",2017-03-01 00:00:00,195098,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Pre-Intermediate Self-Study Pack: Workbook & DVD-ROM + Audio CD (Book w/ DVD/CD Combo)","Cambridge University Press",,"Out","2.0","4:3",31,"NR","2011","Special Interest","1.33:1","9788483237342",2017-03-01 00:00:00,190616,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Pre-Intermediate Teacher's Pack (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",75,"NR","2011","Special Interest","1.33:1","9788483237694",2017-03-01 00:00:00,190577,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Starter Coursebook With E-Portfolio (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",54,"NR","2010","Special Interest","1.33:1","9788483239001",2017-03-01 00:00:00,190560,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Starter Self-Study Pack: Workbook & DVD-ROM + Audio CD (Book w/ DVD/CD Combo)","Cambridge University Press",,"Out","2.0","4:3",31,"NR","2011","Special Interest","1.33:1","9788483237250",2017-03-01 00:00:00,190675,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Starter Teacher's Pack (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",75,"NR","2011","Special Interest","1.33:1","9788483239674",2017-03-01 00:00:00,190652,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Upper Intermediate Coursebook With E-Portfolio (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",46,"NR","2011","Special Interest","1.33:1","9788483236901",2017-03-01 00:00:00,209990,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Upper Intermediate Self-Study Pack (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",27,"NR","2011","Special Interest","1.33:1","9788483237168",2017-03-01 00:00:00,210049,2017-02-28 00:00:00,"1"
"English Unlimited For Spanish Speakers Upper Intermediate Teacher's Pack (Book W/ DVD)","Cambridge University Press",,"Out","2.0","4:3",61,"NR","2011","Special Interest","1.33:1","9788483236987",2017-03-01 00:00:00,209984,2017-02-28 00:00:00,"1"
"English Unlimited Intermediate A And B Teacher's Pack (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",56.25,"NR","2013","Special Interest","1.33:1","9781107633650",2017-03-01 00:00:00,248253,2017-02-28 00:00:00,"1"
"English Unlimited Intermediate A Combo (Book w/ DVD)","Cambridge University Press",,"Out","2.0","4:3",35.25,"NR","2013","Special Interest","1.33:1","9781107631038",2017-03-01 00:00:00,248219,2017-02-28 00:00:00,"1"
"Essential Grammar In Use Classware (3rd Ed./ DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",160,"NR","2010","Special Interest","1.33:1","9788483236413",2017-03-01 00:00:00,274895,2017-02-28 00:00:00,"1"
"face2face Elementary Classware (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",200,"NR","2012","Special Interest","1.33:1","9781107628373",2017-03-01 00:00:00,228256,2017-02-28 00:00:00,"1"
"face2face For Spanish Speakers Intermediate Classware (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",184,"NR","2011","Special Interest","1.33:1","9788483235577",2017-03-01 00:00:00,192255,2017-02-28 00:00:00,"1"
"face2face For Spanish Speakers Upper Intermediate Classware (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",184,"NR","2011","Special Interest","1.33:1","9788483237816",2017-03-01 00:00:00,192231,2017-02-28 00:00:00,"1"
"face2face Pre-Intermediate Classware (DVD-ROM)","Cambridge University Press",,"Out","2.0","4:3",200,"NR","2012","Special Interest","1.33:1","9781107610552",2017-03-01 00:00:00,228202,2017-02-28 00:00:00,"1"
"Figures Of Speech (On Demand DVD-R)","Gravitas Ventures",,"Out","2.0","LBX, 16:9",16.99,"NR","2015","Documentary","1.78:1","191091266120",2017-02-28 00:00:00,299235,2017-02-28 00:00:00,"1"
"Framed (1975/ Kino Lorber Studio Classics)","Kino Lorber Studio Classics",,"Out","5.1","LBX, 16:9",19.95,"R","1975","Action/Adventure","1.85:1","738329211189",2017-02-28 00:00:00,298066,2017-02-28 00:00:00,"1"
